LionID,frog,human
25F,10,15.5
25K,2,18
29K,10,25.5
43K1,13,25.5
43K2,19,6
48M,25.5,25.5
53F,6,25.5
62M,2,15.5
69F,2,6
69K,21,25.5
70M,6,6
26M,17,NA
37M,12,NA
43F,14,NA
43F,10,NA
66M,25.5,NA
67M,NA,20
69F,NA,25.5
