ID,frequency,temperature,population,sex,year
F20,326.3615,26,E,Female,2015
F23,330.182,26.5,E,Female,2015
F28,312.173,23.8,E,Female,2015
F31,323.162,24.7,E,Female,2015
F33,315.5885,24.3,E,Female,2015
F36,377.675,26.1,E,Female,2015
F37,304.4105,21.3,E,Female,2015
F39,340.982,26.4,E,Female,2015
F40,276.5195,21,E,Female,2015
F44,301.7915,24,E,Female,2015
F45,328.832,23.7,E,Female,2015
F47,335.96,24.7,E,Female,2015
F48,328.3055,25,E,Female,2015
F59,274.2245,21.6,E,Female,2015
F60,276.344,21.7,E,Female,2015
F67,299.3075,24.2,E,Female,2015
F1,305.396,26.8,E,Female,2017
F3,442.016,33.3,E,Female,2017
F4,377.729,31.1,E,Female,2017
F6,305.531,30,E,Female,2017
F9,379.835,30.5,E,Female,2017
F10,310.3775,31,E,Female,2017
F12,370.385,29.6,E,Female,2017
F14,365.2415,31.4,E,Female,2017
F20,310.1885,20.8,E,Female,2017
F17,286.901,20.7,E,Female,2017
F18,299.5775,21.6,E,Female,2017
F16,310.607,20.8,E,Female,2017
F25,258.9425,21.7,E,Female,2017
F34,371.6405,31.5,E,Female,2017
F38,406.781,36.2,E,Female,2017
M6,308,23.8,E,Male,2017
M15,313,24.1,E,Male,2017
M12,322,24.6,E,Male,2017
M18,322,24.3,E,Male,2017
M9,326,23.9,E,Male,2017
M17,339,26.9,E,Male,2017
M21,339,27.5,E,Male,2017
M11,340,24.5,E,Male,2017
M14,349,27,E,Male,2017
M19,355,27.3,E,Male,2017
M10,363,29.7,E,Male,2017
M57,367,29.7,E,Male,2017
M8,370,30.5,E,Male,2017
M56,371,31.5,E,Male,2017
M13,379,30.1,E,Male,2017
M23,386,34.1,E,Male,2017
Im1,317.0381021,23.6,I,Male,2015
Im2,307.9608939,23.5,I,Male,2015
Im3,346.6981132,27.5,I,Male,2015
Im9,333.5854766,26.3,I,Male,2015
Im11,346.4257659,27,I,Male,2015
Im12,329.1044776,26.8,I,Male,2015
Im16,351.6746411,27.3,I,Male,2015
Im18,354.7868061,26.3,I,Male,2015
Im20,300.2042206,21.7,I,Male,2015
Im21,350.5564388,35.8,I,Male,2015
Im22,355.9322034,28.1,I,Male,2015
Im24,332.3285607,27.1,I,Male,2015
Im26,295.7746479,24.5,I,Male,2015
Im27,351.6746411,24.1,I,Male,2015
Im28,311.6607774,24.3,I,Male,2015
Im31,321.8978102,24.7,I,Male,2015
Im34,317.0381021,24.9,I,Male,2015
Im35,346.9708891,27.6,I,Male,2015
Im38,353.9325843,27.3,I,Male,2015
