,compound1,compound2,compound3,compound4,compound5,compound6,compound7,compound8,compound9,compound10,compound11,compound12,compound13,compound14,compound15,compound16,compound17,compound18,compound19,compound20,compound21,compound22,compound23,compound24,compound25,compound26,compound27,compound28,compound29,compound30
A29,0.02755676120663604,0.021547495591736965,0.027513603269435128,0.0102997854313929,0.047119728017883764,0.0030801373897065745,0.005916375655850037,0.046549235618181105,0.00655725522691445,0.12598162350375314,0.016725310966651915,0.016660100398294297,0.0,0.0,0.0,0.01797482891948539,0.0,0.0,0.011103082099120082,0.0404071160114779,0.015218831034208626,0.03859574740119071,0.0,0.011803350580947974,0.2553889148963065,0.007585446756373993,0.004603944412339162,0.02737467017492544,0.04326658177159055,0.00884843765242335
A30,0.02523227289444009,0.025738658640385794,0.0,0.010524656668561564,0.03160881417361179,0.0014243079058934758,0.004451021507411403,0.04714766035467802,0.005170550364545818,0.2153530340991591,0.0,0.0,0.03999981294469519,0.0,0.00320091987012378,0.010237115753400673,0.013423194711290675,0.0,0.0020102689338435866,0.03106836254883626,0.005182609371961833,0.053250154938109875,0.004557188179796248,0.007867896831681811,0.21786303837990695,0.007549685067830383,0.005554261620663908,0.0,0.06821472073977623,0.007489471151651055
A31,0.04919911309390874,0.02928021689122393,0.04035187949471909,0.014725614220321499,0.034395687069220846,0.0017200279854973051,0.003550346026617146,0.055867693109767184,0.007933269703247819,0.019837503445478674,0.0,0.005560546160061054,0.058472928862706504,0.0,0.0,0.027514662098510854,0.008447591619237927,0.0,0.002591760817750943,0.044368616394642686,0.0049326923263051815,0.0677011393967486,0.004922265289757936,0.008124163189567078,0.2317646159053238,0.0,0.009666223047604422,0.027052232663711106,0.08455749101367123,0.020431748924770444
A32,0.03144385791321274,0.023018753672442816,0.02851804011326539,0.008662332404153598,0.03217993199704438,0.0024489162832112485,0.00490057031592816,0.0,0.003949425648850275,0.1761758106416014,0.0,0.020848787517159826,0.015987502532070996,0.0,0.0,0.016803812885449083,0.010228381052480565,0.0,0.01647456911152031,0.03669299667726459,0.018240048719495635,0.05720968146525572,0.0,0.01119222957808304,0.2385160066189416,0.008054104129838988,0.006329362022475306,0.0,0.06159244799863061,0.018612322225940142
B09,0.0,0.02020295947076789,0.0,0.019986128864194527,0.13711797608714302,0.0016539061719808652,0.008392464626781202,0.0,0.03945304978533325,0.019583248608407582,0.02961116960075004,0.0019622176441029936,0.12238481163925227,0.0,0.0,0.025463933022645775,0.006550257595795437,0.0,0.0,0.07047304458157683,0.0059565721234790285,0.0,0.0,0.018208984370861884,0.18820547068649215,0.007561529738928462,0.0,0.0,0.0661354624572708,0.016030269649697428
B10,0.07736181893844613,0.0,0.0,0.01617846433963901,0.05963471782973311,0.0,0.0,0.0,0.014196663310921492,0.011763117933910697,0.032873791786135385,0.023531602096747744,0.1115964438788452,0.0,0.01064457193170256,0.03352172930816921,0.0,0.0,0.0,0.0,0.016492254604048757,0.06272963948835347,0.0,0.035390056714398065,0.1461836697883526,0.005970986291728293,0.01369818215214448,0.04808299561943618,0.042800215891833554,0.07115939283293325
B11,0.02420489181618711,0.048287023395364066,0.011874082878389983,0.02163775324576178,0.05975028072698143,0.00937087627283018,0.008369059669820057,0.0,0.015719559956353317,0.01419189674059993,0.03436922150680129,0.0,0.08893983779420914,0.0,0.0068455454779337835,0.03274399071071008,0.0,0.0,0.004575306655818557,0.0,0.01071850723891349,0.0669299626317769,0.0,0.019399603091782187,0.1783866595288584,0.006452084027563307,0.01321708797580612,0.05279740550002239,0.03932530814501487,0.039431834388694326
B12,0.033128570629248844,0.03381339813701709,0.005736847224097204,0.016535432574619098,0.08762202320292936,0.0014894474607481459,0.0,0.0,0.009148111776658101,0.024563863556130407,0.022769721607751967,0.0018009732792342806,0.12405654046847443,0.00502301274073295,0.0022945832027958754,0.01743664966382113,0.003370063349335078,0.01186314247630637,0.004558253829795555,0.03150995334866097,0.00409933720991452,0.028531553956069336,0.0,0.01586900840248312,0.2264400600798242,0.0,0.006015103866289346,0.029239445847425084,0.08025298041720905,0.019135522874297956
B13,0.12401722790914442,0.07364072728546868,0.0,0.015667858888479897,0.03659602338977675,0.0,0.008565505488778635,0.0,0.06206017868392227,0.00444667949593068,0.05922693428162867,0.0,0.0663639088381964,0.0,0.007537020942702096,0.021992647287147043,0.022395215466459603,0.0,0.0,0.04488683082300785,0.006220033944640337,0.03722750421062582,0.02622805826251516,0.03922269768468285,0.09308184493454759,0.0,0.0,0.10529724597015015,0.017888201100058097,0.0
B14,0.03533160067497356,0.032188235308403534,0.00658228820170002,0.019212350716197035,0.13924828089672672,0.00999804965842706,0.007588508600394139,0.0,0.00992217284595689,0.020709622070221076,0.0,0.0,0.09423065984238797,0.0,0.002104638003966074,0.019341008634776596,0.003149866547590422,0.00979451835966164,0.0,0.05099734983805812,0.0039781632835381026,0.02293975680090796,0.0,0.0,0.24314232365377852,0.0,0.004824765455422153,0.0170902381564866,0.0806471413516395,0.02194310582061817
B15,0.0331394586434485,0.02681203474732514,0.0,0.014528266058276614,0.1782784689149802,0.008055662415787989,0.00548787643680428,0.0,0.0093030405252197,0.012562269688689783,0.0,0.0028477097274269363,0.10868383771501094,0.0,0.005065909370631732,0.00932387691016981,0.0022042504427021016,0.008395815917961428,0.0026354582493530385,0.03837570640894713,0.0029136755631589085,0.05628028468731316,0.0,0.011314199787507662,0.17937118681697678,0.003962992277591644,0.013316544410974532,0.026706776530827116,0.06608882530575795,0.014081876912446918
B16,0.11241965233762591,0.01970039794168393,0.007684989582350722,0.011749311847699893,0.18117014555274602,0.006841201889546692,0.0055372658823100015,0.0,0.007722496555756471,0.0076069126166260475,0.013305355427605798,0.001132077847465557,0.09737922138489107,0.0,0.0013011906279008297,0.0,0.014295428261022945,0.0,0.0,0.03619381386127946,0.0036813453061209605,0.04711394078096862,0.0,0.011243069918614026,0.13991891554693972,0.0029613446951979143,0.010726713001203706,0.023321980765521035,0.05370497670501709,0.018489513947775146
B17,0.038564146802283095,0.02245507804730571,0.0,0.013408910393379148,0.12907958187010693,0.007436834782755834,0.0,0.0,0.007543374060687099,0.07526133724495886,0.030981103640374996,0.02200169275777872,0.09885712851259788,0.01676401833025572,0.0,0.018740553012250926,0.012402015590585066,0.0,0.0,0.030053773152675926,0.0,0.05586149926861404,0.0,0.015049236144835974,0.18906199438991703,0.005345815769176019,0.008163974146561635,0.015467547322832221,0.04141469004978901,0.00796285918913341
B18,0.0,0.013103114122457347,0.0,0.010235833500733206,0.13124633230765473,0.0074233554117871785,0.005510932038875977,0.0,0.008431970998266793,0.07284176346779339,0.01580225905312547,0.002219371398860502,0.11286742030549461,0.019967632517109753,0.015260329414694263,0.013838037945431701,0.013572141360392304,0.0,0.011107787307074728,0.047412314011649595,0.005341153176918622,0.06073903673195662,0.0,0.011587735444028704,0.1945929632679452,0.003132548698910137,0.009260221551625224,0.012290317122195667,0.04032500492743874,0.016704614224852622
B19,0.0,0.0,0.0,0.015473247233017916,0.042195412719672226,0.0010388421967161318,0.004016790008859514,0.0,0.008246157838109915,0.12007345430814108,0.0,0.0,0.14727403138697193,0.03503623780532722,0.0016884688156260231,0.0,0.005949380952215851,0.010846527026922492,0.0,0.05444052575589921,0.0,0.10020169796830443,0.0,0.01589832766124685,0.24770720626058987,0.0007688327121655429,0.005139987095889469,0.014884754983137478,0.0,0.010265228599010037
B20,0.05964531559131396,0.0,0.0,0.01707326766830052,0.026776124602652267,0.0012543145022927242,0.005232221009889204,0.07407972300366768,0.00845331230893756,0.02268577278581534,0.0,0.0,0.07094013959395529,0.0338810644535082,0.0,0.0,0.004309920010691077,0.010731432743160773,0.0,0.052305619971238754,0.0055261171173754415,0.09887271071100656,0.005252046242135828,0.01724241359879213,0.25770736563707497,0.0009288416246104408,0.004286670398956292,0.014508237726621591,0.07816929682375118,0.008334150522168057
B21,0.08764688566111768,0.05266979702294657,0.0,0.02335513261936834,0.031222576271185364,0.0019222277537696666,0.007104626852800767,0.0,0.009077534846003458,0.016203722161257202,0.0,0.00183901093630844,0.12491390449499601,0.05130525363750141,0.00195831988536929,0.0,0.004073123429835428,0.0,0.0025112026200780607,0.0696258442080231,0.007585144230217853,0.08938640933088404,0.0,0.0,0.19695332808155744,0.009050280441499602,0.005467305327079801,0.02384834012114539,0.0,0.014978561492279604
B22,0.0,0.0075850932864137514,0.0,0.01620831672187128,0.030338240784515736,0.0,0.004161657760301829,0.0,0.013662582789468768,0.03724321750013207,0.0,0.0011002945393851075,0.28197357147992813,0.0,0.0004911547288440567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025109512020443193,0.33634111933016136,0.0,0.0069839954352921545,0.0,0.0,0.007588831043895398
B23,0.026295342972228273,0.025799349463618428,0.0,0.01030330544418427,0.12690591169202173,0.0,0.005851709149041201,0.0,0.009787347085131895,0.06967495237711074,0.015122206544345975,0.008616645062924665,0.10475614262267509,0.02652754988167586,0.0,0.014003881693007389,0.014893226342618474,0.0,0.027097180901801167,0.05060064295964806,0.0,0.06320844237988416,0.0,0.009941378859168872,0.1839123647762506,0.004876412855129893,0.012400381252164345,0.012473943890458115,0.03865752818336335,0.009772073045858228
B24,0.0660978649987336,0.020758942533274656,0.0,0.010139614845616785,0.1597599197507527,0.007929542825643787,0.005756245333751354,0.0,0.008006706526781667,0.05959079533592618,0.014211667758109444,0.0,0.08238866123913796,0.014597458893170668,0.037123013234197796,0.011459404547047438,0.0,0.0,0.025806262293555895,0.03811900255456187,0.0,0.05003812614445313,0.0,0.009343359105934163,0.17306400040259678,0.004763364863444368,0.008528405467753969,0.011490082180245411,0.03607922953725814,0.009057369939510179
B25,0.04694953383699949,0.031523175271089686,0.04343281155916143,0.00916677636872282,0.03293613002519102,0.0028964967845985703,0.003052519995297847,0.04505994958917146,0.006700705894257204,0.08719065691814436,0.0,0.002281912877807165,0.04903871790824732,0.00940945577073305,0.004020691007539413,0.0,0.0076874824728642675,0.0,0.0008757836746633243,0.037585743309703004,0.012734460237828897,0.06835585347807185,0.0008706068397785312,0.00956444497928835,0.2267513870475154,0.009012327785535252,0.0020456466591519487,0.013728002160936578,0.06912189811819651,0.015033998400675132
B26,0.012145310157535016,0.0,0.043779611626898945,0.008623802501820385,0.03706080460605638,0.0026799514569194726,0.003177657774227437,0.055244750540387556,0.0,0.07776739727035874,0.0,0.005438483417710285,0.05641579247857773,0.0077775368976545625,0.007682656433295853,0.0,0.0,0.008259011076803206,0.002046856783324406,0.033226843185197426,0.011324839669503827,0.09054745433351288,0.0,0.00992200605726504,0.2594799538989579,0.008885701809976013,0.003183079581800724,0.01469130393343722,0.08788509561280258,0.01232836628039332
B27,0.08850037287157826,0.029955428930280994,0.0,0.01069504606392509,0.046999169688960105,0.001481939283064927,0.00453765226790826,0.0,0.00507271995569473,0.05742130073123126,0.020104563524856022,0.006178601199264891,0.015799557312925504,0.008535031257908568,0.005371098169918787,0.008597364410167344,0.010669451951478339,0.011097073685275188,0.001145471006189486,0.07040385725835212,0.011947732532816927,0.07404190621438073,0.0,0.014593720617498649,0.20994743937673752,0.006875513230153257,0.003106133974496275,0.018560218323511592,0.06108271946902459,0.009193052393399162
B28,0.02043941988974732,0.03797590112614291,0.028239003377434128,0.014170007152302256,0.02176918660570376,0.0014002150362793057,0.004827822772959712,0.042614308485769636,0.010366377718442525,0.16425082989951953,0.0,0.002666939167329401,0.041317976490611204,0.00944457763062889,0.004472971413710279,0.013023513655978317,0.01008425991967835,0.0,0.015027353839995606,0.037336281697455946,0.012465768097650787,0.08579041948635723,0.005773817218764362,0.006962677587684435,0.15821005341436706,0.006121200166116656,0.005079252197235011,0.026908468292486692,0.07279027506117079,0.0
B29,0.045764547439017714,0.062061786781082165,0.01468013639809272,0.016050554662629484,0.03482130735256898,0.017919146784818894,0.006391066675691376,0.0,0.0,0.13806587567833073,0.0,0.0,0.014868850821428688,0.0,0.009924964270298911,0.02064326919276683,0.0,0.0,0.0,0.07026243299653973,0.018252188343393455,0.0549752314758001,0.011125871299957797,0.022782316034754425,0.18675363152288588,0.0,0.0,0.03968191772001385,0.03556135212624048,0.027926083181078438
B30,0.0,0.02276312952211813,0.04604441942653433,0.0063253434713567026,0.08511498393529156,0.0022927985802246526,0.005534685590557113,0.0,0.005725311751287671,0.0192110007232205,0.0,0.010901430463938454,0.0768928857197576,0.0,0.013772301556124524,0.010172429677077419,0.013175227537179738,0.0,0.004157203123888047,0.0475537870164483,0.005958919382613232,0.08283926086002934,0.0,0.007914664389532507,0.255106412605561,0.008980541089396684,0.004681754760314318,0.020859812982744926,0.08512187853012033,0.006908295681119356
B32,0.04344791935231606,0.0,0.0,0.010402849916856692,0.0396093333720011,0.002363278365662522,0.0026714866620796934,0.045785872623487975,0.005433461051067092,0.19106208153930052,0.0,0.002021064896011524,0.045351420741865926,0.01032744711682628,0.005832153588454168,0.0,0.013008641762146991,0.004714604061732891,0.0009054530634325358,0.03924467613460739,0.004165763607651408,0.0753998094504804,0.0,0.0068696745879068865,0.22547220034562074,0.002917460334157548,0.004304441509153996,0.016967814000662385,0.07487047854650092,0.0041827956962338375
C09,0.037594721679184886,0.014550009986973977,0.0,0.01593698565021169,0.12815154139986892,0.009047152761106928,0.007321449807862944,0.0,0.009783969038306502,0.015633053022510997,0.0,0.0016541741051809664,0.11300622263482525,0.0,0.002600949854021086,0.017386393050998917,0.0034368578574025047,0.010189682700584188,0.0025457869125453413,0.05542314577919959,0.004433393562208261,0.06607983855901316,0.0,0.01549016354999235,0.18922170774997263,0.005966425153759107,0.0052255317645921815,0.026025026211976353,0.06481602625528475,0.02145032656882735
C10,0.034937395743370125,0.0,0.0,0.013335912820904898,0.1355206899524613,0.006959478552905475,0.00695676749421351,0.0,0.009558484810622925,0.012650057696125743,0.01642057950181506,0.02557981370542798,0.10141054094269886,0.0,0.0060607861846444025,0.008686556006402354,0.015240411071659155,0.0,0.0035578936695026607,0.06316120659383326,0.008327511638776049,0.046432555022608984,0.0,0.01420816666073364,0.18681406028338307,0.004110738792950774,0.013104867578177302,0.04401477723383102,0.047215979956929964,0.00467020117472556
C11,0.02887722330394135,0.0,0.0,0.016455124195159054,0.13140941598519865,0.0,0.0,0.04413440966448448,0.013851223618974236,0.012786713261689083,0.0,0.004773134961622065,0.11112584972287047,0.0,0.0056830290253706475,0.01243590462558867,0.0,0.010012352665651116,0.0076141738503998895,0.06194121119786796,0.003981524693831814,0.059439254489270885,0.0,0.016737219831830876,0.1587064500141957,0.005908532922210656,0.01219588831629246,0.03980709700318172,0.044409885600723675,0.02111527714636888
C12,0.05548919183222539,0.0587988216621748,0.0,0.017261836239471855,0.09982748174181383,0.0,0.009980423579683807,0.0,0.01569045772866497,0.012349600609981018,0.025704694873268583,0.017074962288360935,0.09900694326454466,0.0,0.005005262140108732,0.00822339928430278,0.0,0.0,0.0,0.0,0.0,0.06281904034248534,0.0,0.01661750936093651,0.15103872522982748,0.006469082867208091,0.012228015762715415,0.043100905966475596,0.025950880836543393,0.01738064729466587
C13,0.038645784789889594,0.0,0.009887041173303534,0.01399236066331347,0.18338302751476201,0.007428106871004575,0.005469490357641841,0.0,0.008644376042174707,0.01440888111163593,0.0,0.000977226157269909,0.09947251293444133,0.003415241710040521,0.0015280704019213053,0.012901332539506448,0.0174844489372444,0.00842106873463892,0.001774606939565877,0.04458791060036705,0.002951379796871026,0.05389886758575825,0.0,0.013867756132075547,0.22026424653884435,0.0,0.0029255147986699164,0.01924997030560121,0.06538380538828331,0.0
C14,0.02647036077335702,0.01903654994977212,0.004025377833489055,0.013663764099101373,0.18025857448081917,0.007929470340854363,0.006071737680221968,0.0,0.008601692784661894,0.013610316737542205,0.0,0.005950211798566578,0.12743255275271753,0.004908353953029905,0.0015219592157886884,0.013440392298160894,0.0015997140543023067,0.0,0.00190859633486375,0.04639757986403055,0.003190605358128223,0.06071678842570909,0.0,0.010700217744312368,0.18716458124643104,0.004137495651261043,0.013767065657024792,0.014596256748560596,0.0663062949301436,0.007778401997324376
C15,0.05031105588762045,0.02345917112415733,0.0,0.014044082620632892,0.14702604421415347,0.0077279588056872964,0.0,0.0,0.009366752414343798,0.017542220939596526,0.019471136863353788,0.0,0.08084553464291026,0.0,0.0016649526756186263,0.014697790445378625,0.0022202559973872296,0.007550685123402737,0.0013041101638174004,0.04064953233576502,0.003136572554789332,0.03978437602509179,0.0,0.012417450844964298,0.2261316438718187,0.004312459933323161,0.011601202216493238,0.013625661902599992,0.0737461425232786,0.017136004286299408
C16,0.06959948343000424,0.02095740989171445,0.004648389093015701,0.013034921889227192,0.1510297520112994,0.007005699152370882,0.005250430184295115,0.0,0.008599081217114628,0.010127435599919007,0.014304641383272036,0.0031576590142551354,0.10186045570274592,0.0,0.003748812447589651,0.013193001301823925,0.01606584807281757,0.006952222947162454,0.0020040285143311815,0.033652198910725815,0.0024964131681617413,0.05020677112411725,0.0,0.009591047492444498,0.2030799763342651,0.0032900365078672488,0.011990789725918403,0.02210692318269607,0.0556771052581058,0.009505746567607314
C17,0.0,0.0,0.0,0.019925105760418064,0.0,0.001960025317405041,0.0,0.0,0.011452457563959373,0.030724154717141093,0.0,0.0,0.13566518918115103,0.05384567617738367,0.005432125595770284,0.0,0.00594133738189,0.015582284796400862,0.0032083501679408526,0.07693154580123988,0.009325941645272607,0.11555031945336505,0.0,0.0,0.24280995308594452,0.011337793519556346,0.0,0.038459085818217324,0.0,0.013546210870051138
C18,0.16928176497102404,0.012803132569403547,0.0,0.004660772124346073,0.1728188815977368,0.004795226624158689,0.0,0.0,0.00656055891549973,0.07394066536269724,0.0,0.002787747047586342,0.0796786931169179,0.011326381850408095,0.0032536140677589397,0.010148931745938042,0.0,0.0,0.0027966925473499717,0.033916587108593986,0.0030769987101503552,0.047147563330444536,0.0,0.008721642603275095,0.16730634771244673,0.0030590851516621577,0.0078030791497497864,0.010076215687656149,0.0369686961859525,0.01258826121496783
