lat,lon,res.time,secchi,tn,tp,state,SurLand
46.071954,-92.504587,1.472883582,3.646428571,584.25,19.21052632,Minnesota,forest
45.389728,-95.569662,26.3379079,0.205,2380,142.25,Minnesota,agricultural
42.424922,-83.894321,48.81418393,5.2,559,8,Michigan,other
42.119468,-85.792538,3.237992606,2.8288,634,11,Michigan,other
46.399858,-95.66238,0.833166508,3.255882353,622.5,28.53333333,Minnesota,agricultural
39.179778,-87.244081,16.29897815,1.642857143,935.2857143,67,Indiana,forest
42.580733,-83.431602,6.644543657,4.9,524,8,Michigan,other
45.141915,-93.739015,3.516070892,2.3975,2300,79.5,Minnesota,other
43.443196,-85.267635,8.375564205,0.8,1671,51.4,Michigan,other
45.964629,-94.149596,12.06245753,2.912857143,630,16,Minnesota,agricultural
45.067009,-92.648596,9.444089517,2.804315789,640.9047619,14.715,Wisconsin,agricultural
44.274475,-93.826179,1.715255799,0.89792,3026.666667,89.33333333,Minnesota,agricultural
41.907209,-85.799826,33.30639213,3.6,575,12,Michigan,other
46.295483,-95.551057,8.012107778,3.614468085,840,27.1,Minnesota,agricultural
40.340521,-81.177694,20.31346957,0.927574194,669.1932694,32.81666667,Ohio,forest
40.18835,-83.965623,13.88295738,0.478,1574.178583,121,Ohio,agricultural
42.194898,-73.452129,13.11634745,3.1,330,12,Massachusetts,forest
39.591216,-74.866024,3.225631981,1.4,874,45,New Jersey,forest
40.905728,-74.795647,9.05829217,1.1,802.15,53,New Jersey,forest
45.047789,-84.78616,30.43722617,3.4,689,9,Michigan,other
39.108696,-86.047624,6.408988873,2.833333333,513.6666667,26.33333333,Indiana,forest
45.123527,-83.974406,2.088590614,4.248,273,6,Michigan,forest
38.062496,-86.662135,57.18233144,5.083333333,347.6666667,16.33333333,Indiana,forest
44.368084,-93.641209,6.784376748,2.278611556,2276.363636,133.3636364,Minnesota,agricultural
45.949562,-89.647791,12.14620068,2.1,620,30,Wisconsin,forest
43.085264,-88.429154,4.726004816,2.424,1217,18,Wisconsin,other
44.370308,-68.274797,41.68319368,2.3,499.3333333,11,Maine,forest
45.505749,-93.330318,18.33318889,0.199090909,3480,263.8181818,Minnesota,agricultural
41.04811,-86.179025,14.14661537,0.885714286,1188.714286,44.85714286,Indiana,agricultural
39.755706,-87.039562,65.73429973,0.975,2860.25,44,Indiana,agricultural
45.913723,-93.408511,43.70494102,0.973125,1450,86.75,Minnesota,forest
41.551044,-85.285913,3.75505847,3.88,1012.2,15.2,Indiana,agricultural
41.351783,-85.673502,30.62985959,1.866666667,530.3333333,38,Indiana,forest
39.354732,-87.343863,7.162038641,1.9,910.5,16,Indiana,forest
41.717893,-84.649945,7.824937556,0.6334,1612,61.5,Michigan,other
41.533365,-87.052121,2.760938818,2.5,705,24,Indiana,other
45.222415,-92.856178,1.65962751,2.425959596,735,38,Minnesota,other
46.649027,-93.366072,6.089207316,0.843333333,1776,58.8,Minnesota,other
44.700302,-93.473593,16.38768168,1.028571429,1876.533333,107,Minnesota,agricultural
47.974227,-90.685426,12.28812678,2.92,422.8571429,10.85714286,Minnesota,forest
44.368958,-84.459919,13.06708284,3.95,624.9702202,10.87038551,Michigan,other
44.910687,-93.43219,3.162531644,3.845833333,700,86.5,Minnesota,other
44.822622,-84.476042,10.5765581,7.025,191.6296048,5.525099102,Michigan,forest
46.294155,-95.656185,0.769053668,3.728478261,654,25.8,Minnesota,agricultural
40.544302,-81.242172,28.46487318,0.978888889,542.6666667,35.5,Ohio,forest
46.021838,-95.882575,3.767108328,1.224545455,600,30,Minnesota,agricultural
41.685872,-85.606504,7.447159439,0.4,1908.333333,161.6666667,Indiana,agricultural
46.122189,-93.007441,17.04805102,3.494117647,530,24.69230769,Minnesota,other
46.26684,-87.574604,37.92669509,6.4,215,4,Michigan,forest
44.740725,-85.861213,12.98842866,3.4,757,9,Michigan,forest
45.38571,-89.059635,2.126028753,2.5908,420,20,Wisconsin,other
46.477848,-92.694167,114.7149428,1.934285714,764,21.16666667,Minnesota,other
45.273736,-92.947538,2.503847373,1.604166667,1442.5,60,Minnesota,other
46.036874,-92.51699,165.4563341,2,660,41,Minnesota,forest
41.67861,-85.05553,5.988220954,2.336,1041,15.4,Indiana,other
45.814126,-94.636243,3.936173744,4,646.6666667,28.66666667,Minnesota,agricultural
47.642544,-91.136492,5.411239742,5.4,410,12,Minnesota,forest
47.711622,-90.657376,2.782509061,2.150294118,514,28.23076923,Minnesota,forest
46.139214,-90.941978,7.29188187,1.909587879,827,36.46969697,Wisconsin,forest
47.555233,-93.508569,3.875076328,2.465,430.6666667,7,Minnesota,forest
46.553054,-94.263923,2.788699946,4.172093023,435,42.33333333,Minnesota,forest
47.165231,-93.73076,2.937399965,1.217058824,1003.529412,35,Minnesota,forest
41.572478,-85.011428,4.725975199,2.833333333,962.3333333,30.33333333,Indiana,agricultural
43.632412,-93.316113,10.39150796,0.410232558,5517.5,278.3333333,Minnesota,agricultural
46.176686,-85.769055,3.211005695,2.6,641,24,Michigan,other
41.578989,-85.663567,6.230911362,1.25,1495,47,Indiana,agricultural
42.587319,-83.371703,0.780459937,4,512,10,Michigan,other
47.839799,-90.74875,3.197187295,1.9,442,19,Minnesota,other
39.105846,-87.150985,6.029913094,4,243,30,Indiana,forest
41.359647,-85.442259,52.59585565,1.1,1670.25,37,Indiana,agricultural
47.436918,-94.190942,1.164340718,2.871428571,480.5,18,Minnesota,forest
46.477433,-95.755196,1.071436446,2.467468354,1010,30,Minnesota,other
41.071698,-74.273067,46.91158414,0.3,1394,138.07,New Jersey,forest
44.00374,-89.429061,7.410598685,3.9624,2055,17.93333333,Wisconsin,agricultural
48.396784,-92.522279,1.206288132,6.67,261.5714286,22,Minnesota,forest
44.361896,-96.095937,33.97348188,0.677777778,2330,240.3333333,Minnesota,agricultural
46.642371,-93.357441,1287.597042,0.97,1842,80.4,Minnesota,other
45.376667,-93.668924,6.365287685,1.207368421,1106.666667,44.76923077,Minnesota,forest
38.687468,-86.146515,27.52800933,3.5,1060.25,20,Indiana,forest
42.494161,-85.525879,2.003643952,2.7,612,17,Michigan,other
46.44723,-94.353886,0.79961796,3.005110526,587.3333333,20.6,Minnesota,forest
39.748451,-75.458418,1.210146212,0.8,865,38.41,New Jersey,other
38.215032,-86.835663,22.10698583,0.55,2230,135,Indiana,agricultural
44.937544,-85.729258,7.884876851,4.1699,545,4.052525253,Michigan,other
41.290801,-85.721088,33.05744042,0.98,1329.4,58.4,Indiana,agricultural
38.252452,-87.041272,7.980643888,0.8,1386.25,50.5,Indiana,other
41.262134,-85.554568,4.064566078,3.2,797.5,14.5,Indiana,agricultural
48.203158,-92.384125,40.83578439,2.8,620,60,Minnesota,forest
40.892874,-85.468774,46.33577388,2.56,2017.6,21.2,Indiana,other
42.42532,-85.854983,26.14414398,0.9,967,41,Michigan,agricultural
47.87027,-90.172705,3.590219287,5.891428571,294.2857143,14.14285714,Minnesota,forest
45.026839,-92.988103,3.54097498,2.056447368,1425,130,Minnesota,other
41.536971,-85.412968,1.398981515,1.525,823.75,39.75,Indiana,other
42.287232,-85.212187,10.1675153,2.7,485,13,Michigan,other
46.278253,-88.008349,12.89546548,4.9,244,9,Michigan,other
45.532458,-84.400545,3.189483889,5.930212766,373,4,Michigan,forest
45.911349,-88.988393,1.055971783,6.273362069,374,12.88083333,Wisconsin,forest
41.612343,-85.337389,42.9761392,1.525,2105.5,34,Indiana,agricultural
45.215093,-92.572396,11.17299768,1.761596066,947.0416667,105.0291667,Wisconsin,other
46.078322,-88.432277,11.47982668,5.3,232,5,Michigan,forest
41.896326,-84.792326,8.991767627,2.7,585,7,Michigan,agricultural
39.001781,-87.244904,7.099128028,3.566666667,473,13,Indiana,forest
39.110498,-87.326612,2.346783289,2.55,329,10,Indiana,other
43.627148,-86.050705,15.36555808,2.9,372,13,Michigan,forest
43.619238,-85.282905,6.356688105,3.788772414,479,8,Michigan,forest
44.169442,-89.210351,4.404666022,2.8194,1220,13.4,Wisconsin,other
42.567949,-83.527995,21.0212653,3,516,10,Michigan,other
46.851353,-94.474021,2.30357253,5.864166667,452.5,21.75,Minnesota,forest
47.379732,-93.662764,1.191947198,4.745454545,329.6666667,6,Minnesota,forest
39.857438,-74.809703,44.92654651,1.1,594.3,13,New Jersey,other
41.626619,-85.024139,3.296222149,2.985714286,809.1428571,22.85714286,Indiana,other
44.327406,-68.337519,6.610633066,8.28825,173.4242424,4.497297297,Maine,forest
45.785229,-89.719683,3.35675465,5.859474667,320,7.6903125,Wisconsin,forest
46.393195,-89.100804,31.3076745,2.7,478,9,Michigan,forest
44.321475,-68.287535,20.91543358,6.51974359,209.4705882,5.840540541,Maine,forest
41.627957,-86.749193,5.397784128,4.175,1398.75,20,Indiana,other
46.476149,-92.711379,20.47111808,2,640,21,Minnesota,other
40.25705,-81.219662,25.94824746,0.857777778,842.8947368,27.15,Ohio,forest
40.833593,-74.410285,20.39072407,2,615,27,New Jersey,other
41.352856,-85.446885,40.13174725,1.1,1930.333333,40,Indiana,agricultural
41.761085,-85.065992,15.13533783,2.44,1360,36,Michigan,agricultural
40.71363,-74.63494,374.5552041,0.5,787,24,New Jersey,forest
41.012583,-83.565785,0.049656819,3.39,837,24.2,Ohio,other
42.047208,-84.136029,1.195126064,4,514,9,Michigan,forest
42.309716,-85.355511,12.41046323,3.4,541,32,Michigan,forest
41.019446,-74.660961,2.647321064,1.1,465,58,New Jersey,other
45.696238,-96.732596,35.16432974,1.0375,2155,176,Minnesota,agricultural
42.781932,-83.825843,7.161260194,5.2,435,10,Michigan,other
42.86108,-85.211546,17.31903014,0.9,1697,94.15,Michigan,agricultural
42.382416,-86.04984,4.030570274,2.416666667,504.09,31.96333333,Michigan,other
44.209034,-84.246448,28.44704609,3.2,554,12,Michigan,agricultural
44.955634,-93.308029,9.612853346,1.516185567,1039.529412,78.69230769,Minnesota,other
41.537862,-84.946453,85.9198483,1.24,2937.4,99,Indiana,agricultural
46.492037,-93.652402,1.77207467,2.477142857,730,14,Minnesota,other
41.549524,-86.365487,28.44132133,0.766666667,1178.666667,78.83333333,Indiana,agricultural
42.393029,-84.006945,3.572399098,3.7,503,11,Michigan,other
45.034258,-93.123572,5.791874413,1.7744,973.3333333,84.4375,Minnesota,other
45.398927,-94.306418,11.49932843,1.737857143,784,27.83333333,Minnesota,agricultural
42.34472,-84.796659,63.93102347,2.3,1140,37,Michigan,agricultural
46.83666,-95.564989,11.31574298,3.436470588,883.3333333,34.9,Minnesota,other
43.341163,-85.804539,2.245880844,1.8,1035,24,Michigan,other
45.63316,-93.233328,115.3918939,0.3125,3032.5,173.75,Minnesota,other
44.16893,-93.688827,11.02561131,0.4625,1846,263.8333333,Minnesota,agricultural
42.186821,-85.574301,6.659219464,0.95,994,25,Michigan,other
44.063469,-85.384004,12.86429492,1.5,835,21,Michigan,forest
44.045622,-87.785671,3.109668188,2.20472,1371,30.12727273,Wisconsin,agricultural
41.64561,-85.196353,3.359396113,2.15,1007.5,53.5,Indiana,agricultural
45.436954,-94.458971,0.620119228,0.63554,1640,259.6666667,Minnesota,forest
44.981345,-90.568663,28.63028674,0.833333333,1441.25,141,Wisconsin,other
45.412564,-94.245796,3.670214477,4.185,650,47,Minnesota,agricultural
42.153637,-84.984378,104.9770297,1.2,396,10,Michigan,agricultural
44.328671,-68.363502,3.320086738,8.461111111,147.25,5.025,Maine,forest
43.615259,-91.00981,462.6085965,2.105657143,632.5,43.125,Wisconsin,agricultural
40.020618,-74.398325,34.85234988,0.1,4826,345,New Jersey,forest
39.603138,-74.887368,216.3092759,1.9,264,31,New Jersey,other
46.612686,-88.576025,4.966987698,4.225,279.5,9.5,Michigan,other
41.239151,-85.36246,8.839185299,1.35,928.2458,42.5,Indiana,agricultural
44.294059,-84.17014,4.399698279,4.3,582,12,Michigan,agricultural
45.631575,-89.627518,23.42525851,1.800013333,851.3333333,25.5465,Wisconsin,forest
41.36274,-85.636508,133.9611884,1.45,3738,44.5,Indiana,agricultural
41.33541,-86.446032,3.131091386,0.975,1501,54.25,Indiana,other
